,start_time,end_time,walking,running1,dribbling,idle_standing,guitar_sitting,guitar_standing,shooting,guitar_foot_on_chair,idle_sitting
0,0.0,0.0,58.0,22.0,10.0,0.0,0.0,0.0,30.0,0.0,0.0
1,0.0,0.0,56.0,10.0,31.0,0.0,0.0,1.0,20.0,2.0,0.0
2,0.0,0.0,51.0,15.0,27.0,0.0,2.0,1.0,23.0,1.0,0.0
3,0.0,0.0,31.0,20.0,29.0,0.0,0.0,1.0,34.0,5.0,0.0
4,0.0,0.0,24.0,6.0,35.0,0.0,1.0,3.0,35.0,16.0,0.0
5,0.0,0.0,60.0,25.0,6.0,0.0,0.0,0.0,30.0,4.0,0.0
6,0.0,0.0,11.0,20.0,38.0,0.0,0.0,15.0,33.0,3.0,0.0
7,0.0,0.0,8.0,32.0,35.0,0.0,1.0,2.0,35.0,7.0,0.0
8,0.0,0.0,28.0,21.0,42.0,0.0,0.0,2.0,18.0,9.0,0.0
9,0.0,0.0,6.0,19.0,30.0,0.0,0.0,5.0,59.0,1.0,0.0
10,0.0,0.0,38.0,7.0,33.0,0.0,0.0,0.0,47.0,0.0,0.0
11,0.0,0.0,21.0,16.0,67.0,0.0,0.0,2.0,14.0,0.0,0.0
12,0.0,0.0,27.0,29.0,14.0,1.0,0.0,2.0,11.0,1.0,0.0
